pclass,age,sibsp,parch,fare,sex_female,sex_male,embarked_C,embarked_Q,embarked_S
2.9990134,14.443023,6.1951094,0.36547548,29.826218,0.0019127429,0.9994228,0.00030067563,0.01767078,0.99999845
2.306107,26.742119,0.2454257,0.102456264,4.7950077,0.006674379,0.99659,0.0008250475,0.009465724,0.9999943
2.9999225,32.78239,0.09032488,0.019577289,2.0617888,0.0004956424,0.9997647,3.2395124e-05,0.0039327443,0.99999726
2.9978874,18.264538,4.5812726,0.2962786,19.633677,0.0034868717,0.99697614,0.0007903278,0.025606036,0.9999736
2.7365103,47.23894,0.005191773,0.048839267,1.2982007,0.002630204,0.9995304,0.00048416853,0.018541783,0.9993125
1.2542166,32.93008,0.00025105453,0.10531711,6.7457924,0.0009456277,0.99856746,0.00022736192,0.02195695,0.99889505
2.75,30.505913,0.088983774,0.2035078,6.56254,0.0019407272,0.9971781,0.00017416477,0.013576478,0.9998317
2.999948,18.932022,3.447433,0.16867125,8.333334,0.0024099946,0.999408,4.297495e-05,0.0029409528,0.9999987
2.9999828,15.745087,4.804789,0.053914007,11.754351,0.0030565858,0.99972844,1.013279e-05,0.017472655,0.99999213
2.4035373,33.992035,0.002674341,0.10190376,4.203493,0.0008710325,0.99888366,0.00034421682,0.022670656,0.9992438
2.2533119,29.482666,0.019124031,0.13102826,5.0968266,0.0022738874,0.99793637,0.0010370612,0.016719878,0.99953604
2.9479775,30.848118,0.22735691,0.5976491,23.461164,0.0058008134,0.9975027,0.0015073717,0.026895821,0.9999586
2.4038892,42.144825,0.00089430786,0.04623058,34.532597,0.0010337532,0.9994073,9.995699e-05,0.009565055,0.99910474
2.7582593,25.384441,0.050646037,0.17486914,18.075489,0.0031700432,0.99777573,0.00044232607,0.017552018,0.99996746
2.9786696,31.276253,0.49443197,0.16475648,19.8799,0.0043341517,0.99859077,0.0020823479,0.055449218,0.99993485
2.9610202,28.45361,0.18364072,0.08514332,13.713808,0.004168004,0.9962112,0.0028035343,0.010248542,0.9999776
2.99864,22.638777,2.074873,0.24673678,18.008904,0.026549935,0.99706495,0.00027108192,0.015677929,0.99998987
2.6626956,40.6298,0.008986473,0.13372657,25.922953,0.0027925372,0.99812406,0.0006685555,0.032404184,0.99852514
2.9999833,10.747974,7.9924183,0.86970615,57.682625,0.0025948286,0.99992245,0.00013139844,0.0045172274,0.9999999
2.9997501,18.667255,4.5702376,0.051820274,6.899275,0.013302445,0.9978646,0.00086811185,0.029988587,0.99995625
1.0049381,44.22912,0.0001490114,0.085462146,29.65807,0.00014027953,0.99964166,0.00034731627,0.01211527,0.99945116
2.9999766,13.082241,7.563262,0.1086935,11.806099,0.0031419396,0.99954,7.8350306e-05,0.005601108,0.999999
2.979316,32.28007,0.5105548,0.25569534,11.785814,0.002380401,0.99790734,0.00096684694,0.010190219,0.9999851
1.4472767,28.75587,0.036987543,0.13165605,12.608341,0.0029159486,0.99722093,0.00037878752,0.007876784,0.9999186
1.0130157,45.514336,0.0029509065,0.7309429,61.08759,0.00059080124,0.9990749,0.00027245283,0.03279829,0.9999212
2.9688632,25.223677,0.8183281,0.16420573,5.305393,0.0077768266,0.99918604,0.001451999,0.017034173,0.9998508
2.9749103,35.69098,0.00051832176,0.012398983,0.8424016,0.008412719,0.9994688,0.0002799034,0.03539017,0.9996531
1.0676786,41.131516,1.859643e-05,0.039860126,4.301079,0.0009649098,0.99980545,9.262562e-05,0.007862687,0.9938997
2.9999728,9.522976,7.860946,0.9171493,17.277319,0.004166305,0.99993145,5.0276518e-05,0.006728649,0.9999999
1.7042483,42.882103,0.002010822,0.024229312,3.7691844,0.0010166764,0.998461,0.0008379221,0.012182653,0.9994956
2.7091851,17.05059,0.5670769,0.1474779,8.457848,0.0026646256,0.997203,0.0006695986,0.008041978,0.99997956
2.9940372,20.00229,4.7676373,0.4818964,25.49879,0.0056678355,0.9997185,9.49204e-05,0.0148225725,0.99999976
2.5771718,36.40982,0.0018141267,0.06768536,3.1542914,0.0030080378,0.99765325,0.00032377243,0.014162809,0.99965966
2.89728,27.917751,0.05713892,0.40315533,56.01091,0.0076918304,0.9984145,0.00018045306,0.024391323,0.9998825
2.9629753,28.788712,0.117197275,0.054452952,4.312828,0.0033470094,0.9994898,0.0003245473,0.005459696,0.99999344
2.996627,14.143706,6.631707,0.8057302,21.110954,0.00413236,0.9986038,0.00060001016,0.007475853,0.99998665
1.1686485,34.301888,0.00058794,0.04554605,6.4344063,0.0005093813,0.9994441,0.00015759468,0.009987205,0.9998064
2.8636935,32.132347,0.0013206003,0.025620634,3.373789,0.0036974847,0.9994563,0.00020051003,0.017538786,0.9987658
2.985175,20.019588,0.412987,0.3420827,41.308258,0.0018189251,0.99929595,0.00023710728,0.0064519644,0.9999968
2.9590998,23.70252,0.010990381,0.24764569,34.240383,0.001623869,0.99973965,9.712577e-05,0.0401659,0.9996503
2.9997575,20.333109,0.91318536,0.054833468,2.1068022,0.00038933754,0.9996449,4.1633844e-05,0.01673305,0.99999744
2.9999943,6.1634064,7.9136453,0.11029976,11.086803,0.00058960915,0.9995897,3.7252903e-05,0.016243875,0.9999994
1.0139247,36.574905,4.291316e-06,0.044012364,4.8240833,0.00046649575,0.999897,4.4226646e-05,0.004399985,0.99998033
2.994525,34.449352,0.69401264,0.17950058,28.857706,0.0044959188,0.999255,0.0004040599,0.033112675,0.9998747
2.7226799,39.00025,0.0006201265,0.01974892,1.5277768,0.0049562156,0.9992157,0.00014576316,0.010256708,0.9999317
2.8615756,31.524284,1.7058979,0.38227612,34.48291,0.0029372573,0.9987589,0.00032788515,0.016545624,0.9999766
2.1147194,28.072111,0.0073570907,0.032102104,1.8002034,0.00085771084,0.9990008,0.0011284947,0.027258813,0.9999471
1.0443927,28.728498,0.001322746,0.2353692,15.447035,0.00020900369,0.9987219,0.0019836724,0.011585057,0.99996495
2.9999988,5.6224937,7.987483,0.26331353,10.648354,0.00018212199,0.99993515,7.587671e-05,0.0018562675,0.99999994
1.9141086,28.312233,0.43023658,0.60382265,34.76079,0.0008084774,0.99922717,0.00060358644,0.0046554804,0.9999982
2.9933012,19.155334,3.2827027,0.032742467,6.7817154,0.0028208494,0.998364,0.000415653,0.0057784915,0.99999726
2.3687873,35.465004,0.008689165,0.113567434,15.701025,0.00087171793,0.9967513,0.001098305,0.014359266,0.99974495
2.9833252,25.655725,0.47558665,0.091114454,5.2514133,0.0053735077,0.9986807,0.00025472045,0.006531626,0.9999969
1.1685445,42.214363,0.0013163087,0.09551846,9.486338,9.6559525e-05,0.99945986,0.00083494186,0.013525099,0.99994874
1.12106,38.5303,0.00031968928,0.05843013,19.522102,0.0023088157,0.9997211,0.00039967895,0.0069898367,0.99967456
2.925148,25.589657,2.9131734,0.2861951,20.06679,0.0010637343,0.9991214,0.000598073,0.012926519,0.99980605
2.1914105,32.209774,0.109307736,0.5904009,38.86081,0.009990931,0.9995014,0.0003682673,0.020159185,0.9999659
2.1995223,19.262579,0.15767288,0.14546156,3.8775294,0.0011882186,0.9985714,0.0010361075,0.019611865,0.9987489
2.9323292,34.75273,0.24549699,0.17246856,8.616898,0.00844571,0.9981683,0.00079125166,0.03884256,0.9998442
2.9383738,28.124514,0.08517814,0.19146752,6.264868,0.013024002,0.99971473,0.00019690394,0.015085936,0.9999943
2.9999523,16.179884,6.6893926,0.01573419,2.6183074,0.001134932,0.99976695,4.1991472e-05,0.0017895103,0.99999845
1.0792681,39.105423,0.003486633,0.23216897,16.211287,0.0063506365,0.9985012,0.001534164,0.0454292,0.9933514
2.9996927,9.838573,7.8175535,0.1410672,9.8610325,0.005469978,0.9997892,0.00012898445,0.012529075,0.99999833
2.9737127,21.616817,0.29943705,0.13165122,9.549934,0.0062321126,0.99901116,0.0015605092,0.03293413,0.9999191
2.9719784,29.632978,1.68131,0.083589785,9.574499,0.0016887486,0.9976944,0.0021929145,0.04932949,0.9993142
2.9998782,13.212528,7.7470393,0.11598053,19.541603,0.0012054741,0.99982125,0.00022521615,0.010500342,0.9999999
1.001595,33.303562,0.000113487025,0.21731848,24.964787,0.00048312545,0.99910533,0.00020980835,0.007928491,0.99882096
1.3711962,38.023083,0.00015354135,0.07897907,6.8098354,0.0003681183,0.9997067,8.562207e-05,0.0096986,0.9999702
2.9998994,24.50976,5.463644,0.5428641,3.2411368,0.0006183386,0.99985373,7.593632e-05,0.0038489103,0.99999946
2.9972777,32.16261,0.16877675,0.1775222,9.398373,0.0073361397,0.996927,0.0002296865,0.013207018,0.9999224
2.843944,30.150015,1.5536135,0.3425424,14.106649,0.0034683645,0.99563074,0.0023574233,0.0156008005,0.9999463
1.19042,40.144188,0.0033340452,0.11182632,16.725664,0.00015437603,0.9993283,0.00042784214,0.006216377,0.9999434
2.9806767,26.903843,0.5949991,0.035643693,11.02272,0.0034172535,0.99894404,0.00042238832,0.007306546,0.99983823
1.0048718,47.90323,2.3820024e-07,0.0016795945,0.65350544,2.1070242e-05,0.99997425,3.117323e-05,0.005786419,0.999956
